Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
M,0.455,0.365,0.095,0.514,0.2245,0.10099999999999999,0.15,15
M,0.35,0.48,0.09,0.2255,0.0995,0.21,0.07,7
F,0.53,0.42,0.135,0.16,1.16,0.07,0.14,9
M,0.44,0.365,0.07,0.516,0.2155,0.114,0.155,10
I,0.4,0.09,0.08,0.205,0.0895,0.0395,0.055,7
I,0.425,0.3,0.095,0.3515,0.141,0.01,0.12,8
F,0.53,0.415,0.15,2.22,0.237,0.1415,0.33,20
I,0.545,0.425,0.125,0.768,0.294,0.33,0.26,16
M,0.475,0.37,0.7,0.5095,0.2165,0.1125,0.165,9
I,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,19
F,0.525,0.38,0.14,0.6065,0.56,0.1475,0.21,14
M,0.43,0.35,1.01,1.57,0.42,0.04,0.135,10
M,0.33,0.38,0.135,0.5415,0.2175,0.095,0.19,11
F,0.535,0.48,0.145,0.6845,1.43,0.46,0.48,10
F,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.77,10
M,0.5,0.4,0.13,2.6,0.17,0.133,0.24,12
I,0.61,0.28,0.24,0.2905,0.095,0.0395,0.115,7
F,0.17,0.34,0.82,2.71,0.188,0.087,0.13,10
M,0.365,0.295,0.08,0.2555,0.09699999999999999,0.043,0.1,7
M,0.45,0.55,0.1,2.0,0.1705,0.075,0.72,9
F,0.355,0.28,0.095,0.2455,0.0955,0.062,0.16,11
I,0.58,0.275,0.71,0.2255,0.08,0.049,0.085,10
F,0.565,0.44,0.69,0.9395,0.26,0.61,0.27,12
F,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,9
F,0.66,0.24,0.165,1.1615,0.513,0.37,0.305,10
F,0.56,0.44,0.14,0.9285,0.3825,0.06,0.11,11
F,0.38,0.45,0.185,0.9955,1.04,0.4,0.3,11
M,0.59,0.445,0.71,0.9309999999999999,0.35600000000000004,0.23399999999999999,0.28,12
M,0.605,0.15,0.18,0.28,0.39399999999999996,0.21899999999999997,0.295,15
F,0.575,0.36,0.14,0.8635,0.39299999999999996,0.41,0.2,11
M,0.58,0.47,0.165,2.61,0.3935,0.242,0.33,10
F,0.68,0.09,0.165,1.639,0.6055,0.2805,0.46,15
M,0.665,0.525,0.165,2.2,0.5515,0.3575,0.35,18
F,0.68,0.55,0.25,1.798,0.815,0.16,0.455,19
I,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,13
M,0.465,0.355,0.105,2.5,0.22699999999999998,0.124,0.125,8
F,0.14,0.475,0.65,1.217,1.26,0.3075,0.88,16
F,0.45,0.52,0.43,2.75,0.237,0.1165,0.145,8
F,0.575,0.445,0.135,0.883,0.381,0.2035,0.93,11
M,0.81,0.34,0.09,0.3275,0.134,0.58,0.09,9
M,0.69,0.48,0.105,0.425,0.1865,0.47,0.3,9
F,0.55,0.36,0.135,0.8515,0.36200000000000004,0.196,0.21,14
F,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,5
M,0.205,0.15,0.055,0.042,0.0255,0.015,0.98,5
I,0.51,0.15,0.05,0.042,0.0175,0.0125,0.015,4
I,0.41,0.295,0.095,0.203,0.0875,0.28,0.09,7
M,0.47,0.37,0.65,0.5795,0.293,0.22699999999999998,0.14,9
F,0.47,0.375,0.12,0.4605,0.1775,0.11,0.15,7
I,0.325,0.245,0.73,0.161,0.0755,0.13,0.04,6
I,0.08,0.17,0.16,0.8355,0.3545,0.2135,0.245,9
I,0.46,0.41,0.21,0.595,0.2385,0.111,0.19,8
M,0.4,0.32,1.07,0.303,0.1335,0.06,0.1,7
M,0.27,0.36,0.13,0.5415,0.72,0.096,0.16,10
F,0.47,0.36,0.12,1.45,0.74,0.1055,0.15,10
