fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.4,0.7,0.0,1.9,0.54,11.0,34.0,0.9978,3.27,0.56,9.4,5
7.8,0.88,0.96,15.29,0.098,59.08,67.0,0.9968,3.2,0.68,9.8,5
7.8,0.76,0.04,2.3,0.092,38.42,21.75,0.99,3.26,0.65,9.8,5
12.38,0.28,0.33,7.66,0.37,45.95,71.22,1.0,3.43,0.82,9.8,6
7.4,0.7,0.86,6.97,0.076,11.0,26.6,1.0,3.88,0.65,9.4,5
8.23,0.66,0.0,1.8,0.075,67.43,237.72,0.9978,3.51,0.56,9.4,5
5.96,0.6,0.08,1.6,0.069,17.02,254.18,0.9964,3.3,0.46,9.4,5
7.3,0.89,0.0,1.2,0.065,66.69,248.57,1.0,4.0,0.47,10.0,7
8.65,0.51,0.02,2.0,0.073,38.35,18.0,1.0,3.61,0.57,9.5,7
10.78,0.5,0.36,6.1,0.071,4.37,81.37,1.0,3.35,0.8,10.5,5
6.7,0.75,0.04,1.8,0.42,59.57,192.6,0.9959,3.28,0.54,9.2,5
8.94,0.5,0.01,14.86,0.13,25.1,282.55,0.9978,3.35,1.7,10.06,5
5.6,0.615,0.02,14.74,0.08900000000000001,16.0,230.81,0.99,3.58,0.52,11.45,5
7.8,0.61,0.29,1.6,0.114,9.0,234.36,0.99,3.91,1.56,9.1,5
8.9,0.62,0.18,5.44,0.17600000000000002,52.0,281.64,1.0,3.16,2.0,9.2,5
8.9,0.62,0.19,0.97,0.17,8.23,229.62,0.9986,3.17,0.93,9.2,5
8.5,0.87,0.23,1.8,0.38,35.0,235.71,0.9969,3.7,1.98,10.0,7
9.3,1.04,0.96,3.68,0.54,16.0,56.0,1.0,3.11,1.28,14.2,5
13.6,1.45,0.29,4.69,0.53,51.75,29.0,1.0,2.97,0.5,9.0,4
7.9,0.32,0.51,9.68,0.57,6.64,56.0,0.9969,3.04,1.08,9.2,6
10.49,0.66,0.48,2.82,0.077,29.0,241.72,1.0,3.54,0.53,9.4,6
7.38,0.39,0.14,4.93,0.04,35.34,22.77,0.9982,3.52,1.39,9.7,5
7.9,0.43,0.21,8.27,0.106,6.95,37.0,0.9966,3.17,0.91,10.09,5
5.26,1.36,0.97,6.6,0.084,42.61,230.12,0.99,3.17,0.53,9.4,5
6.9,0.4,0.14,2.4,0.085,70.78,40.0,1.0,3.25,0.53,9.7,6
6.3,0.39,0.16,1.4,0.08,11.0,23.0,0.9955,3.08,0.56,9.3,5
7.6,1.29,0.24,1.8,0.04,47.28,11.0,0.9962,3.28,0.59,8.61,5
10.55,0.45,0.04,1.6,0.41,4.76,94.28,0.9966,3.17,0.91,9.5,5
13.78,1.18,0.0,1.9,0.41,2.76,35.0,1.0,3.94,0.55,9.86,5
7.8,1.24,0.72,2.0,0.15,8.0,211.58,0.99,3.38,0.59,13.82,6
12.1,0.22,0.03,2.4,0.13,11.55,92.09,0.9958,3.35,0.54,11.86,5
12.59,0.685,0.0,2.5,0.105,22.0,37.0,1.0,3.46,0.65,10.6,6
8.3,0.655,0.12,8.42,0.61,60.9,113.0,1.0,3.02,0.66,8.94,5
6.9,0.41,0.3,15.06,0.05,40.0,83.0,0.9993,3.25,1.82,9.4,6
5.2,0.32,0.25,1.8,0.04,13.0,50.0,1.0,3.38,0.55,9.2,5
15.87,0.645,0.0,5.5,0.086,5.0,224.87,0.9986,3.81,0.55,9.6,6
14.93,0.6,0.14,2.4,0.34,3.0,166.91,0.9975,3.7,1.72,10.8,6
13.64,0.38,0.28,2.1,0.35,53.0,250.98,0.99,3.67,0.73,9.7,7
5.7,1.13,0.09,14.97,0.29,7.0,112.54,0.994,3.5,0.48,9.8,4
7.3,0.45,0.36,5.9,0.48,43.61,87.0,1.0,3.33,0.83,11.07,5
7.18,0.45,0.36,5.9,0.27,71.01,87.0,1.0,3.33,0.83,9.2,5
8.8,0.61,0.03,12.43,0.56,17.0,196.24,1.0,3.78,0.51,9.3,4
7.37,0.86,0.02,2.6,0.52,8.0,14.0,0.99,3.21,1.18,10.5,6
14.32,0.66,0.24,2.2,0.069,9.0,23.0,0.9968,3.3,1.2,9.53,5
13.99,0.67,0.02,2.88,0.05,5.0,11.0,0.9962,3.21,0.52,13.14,5
4.6,1.21,0.15,12.16,0.054000000000000006,69.87,65.0,1.0,3.9,0.56,13.1,4
13.08,1.48,0.43,2.2,0.114,22.0,236.65,0.997,3.25,0.73,10.43,5
8.7,0.29,0.52,1.6,0.48,12.0,37.0,0.9969,3.25,0.58,12.51,5
12.41,1.12,0.23,1.6,0.066,5.0,12.0,0.9958,3.34,0.56,9.52,5
4.78,0.31,0.37,1.4,0.58,65.79,55.23,0.9954,3.32,0.62,13.76,5
8.8,1.32,0.08,1.7,0.58,4.0,103.19,0.9971,3.15,0.74,9.2,5
6.6,0.52,0.04,8.68,0.22,8.0,15.0,0.9956,3.53,1.89,9.4,6
7.51,1.39,0.04,2.1,0.068,27.89,14.0,0.9955,3.39,0.64,9.4,6
8.6,0.2,0.36,3.0,0.081,50.25,106.2,0.997,3.2,0.56,9.4,5
7.6,0.43,0.82,2.8,0.11,71.38,73.0,0.9955,3.17,1.15,10.2,6
6.13,0.62,0.04,3.8,0.084,5.26,45.0,0.9978,3.66,0.53,12.63,5
10.2,0.42,0.98,3.4,0.23,4.0,10.0,1.0,3.07,1.85,11.86,5
7.5,0.63,0.55,5.1,0.111,50.0,210.73,0.9983,3.26,0.77,12.88,5
6.35,0.59,0.18,3.28,0.076,55.49,54.0,0.9975,3.43,0.59,10.0,5
7.82,0.39,0.31,2.4,0.32,38.73,136.51,0.9962,3.41,0.71,9.4,6
8.82,0.46,0.4,8.51,0.53,19.0,136.01,1.0,3.44,0.87,9.2,5
11.75,1.55,0.87,1.8,0.22,64.07,275.91,0.9968,3.21,0.71,10.25,5
7.5,0.52,0.16,1.9,0.02,12.0,175.19,0.9968,3.38,0.95,9.5,7
7.0,1.29,0.04,11.85,0.54,13.0,278.43,0.9966,3.39,0.57,12.81,5
7.94,0.91,0.05,4.65,0.31,55.05,11.0,0.9962,3.41,0.39,10.9,5
6.67,0.725,0.52,4.65,0.086,39.74,11.0,0.9962,3.41,0.39,10.9,5
7.49,0.52,0.11,2.08,0.079,11.0,279.04,0.99,3.42,1.12,9.6,5
4.86,0.75,0.11,1.13,0.56,3.61,39.63,0.99,2.86,0.58,11.07,5
9.3,0.29,0.2,4.16,0.07400000000000001,43.24,65.0,0.9969,3.28,1.83,10.7,5
