type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
white,7.0,0.92,0.36,20.7,0.03,45.0,170.0,1.001,3.0,0.45,8.8,6
red,6.3,1.23,0.85,57.46,0.3,14.0,273.01,1.03,3.55,0.49,8.48,6
white,8.1,0.28,1.47,44.0,0.05,60.5,97.0,0.9951,3.35,0.44,10.1,6
red,10.79,0.23,1.53,8.5,0.02,47.0,292.14,1.03,3.19,1.9,10.44,6
white,7.2,0.23,0.32,8.5,0.057999999999999996,47.0,197.01,0.9956,3.19,1.08,9.9,6
white,8.1,0.28,0.4,6.9,0.05,175.86,97.0,0.99,2.77,0.44,10.1,6
white,15.29,1.5,0.16,7.0,0.6,30.0,136.0,1.01,3.18,1.82,9.6,6
white,12.14,1.06,0.36,6.83,0.4,189.72,346.36,1.03,3.0,0.45,14.81,6
white,6.3,0.39,1.19,29.83,0.049,14.0,132.0,0.9940000000000001,2.84,0.23,11.21,6
white,8.49,0.22,0.43,26.75,0.044000000000000004,28.0,124.25,1.0,2.9,1.25,13.65,6
white,8.1,0.25,1.3,1.45,0.033,209.38,21.39,0.9908,3.38,0.56,8.05,5
red,9.33,0.63,0.6,46.31,0.27,17.0,313.0,0.99,3.14,0.66,9.68,5
white,8.53,0.18,0.37,45.88,0.04,285.83,402.44,0.992,3.72,1.97,10.8,5
white,8.03,0.16,0.4,1.5,0.044000000000000004,71.35,143.0,0.9912,3.19,1.07,12.4,7
white,8.3,0.42,0.62,29.31,0.1,120.43,172.0,1.0,3.28,0.67,9.7,5
white,6.6,0.14,0.38,1.5,0.18,126.79,112.0,1.03,3.23,0.55,11.4,7
white,5.16,1.09,1.25,1.1,0.046,53.14,99.0,1.02,3.24,0.36,9.57,6
red,6.55,1.02,0.48,1.2,0.39,29.0,75.0,0.99,2.78,0.39,14.38,8
white,7.4,0.73,0.74,1.1,0.033,17.0,218.33,0.9917,3.82,1.29,11.49,6
white,6.5,1.5,0.45,35.32,0.07,34.0,219.72,1.0,3.39,0.5,9.5,5
white,14.82,1.32,0.48,1.2,0.04,221.22,75.0,0.99,3.97,0.39,12.8,8
white,6.4,0.31,0.93,2.9,0.17,19.0,102.0,1.01,3.17,0.35,11.0,7
white,5.48,0.26,0.12,27.67,0.049,287.71,93.62,0.99,3.24,0.48,10.5,8
white,7.6,0.42,0.3,43.52,0.07400000000000001,25.0,168.0,1.0,3.13,1.38,8.48,5
white,6.6,0.27,1.49,1.3,0.052000000000000005,16.0,96.54,0.9951,3.42,0.47,10.0,6
white,7.0,0.25,0.32,9.0,0.046,56.0,211.54,0.99,3.82,0.5,10.4,6
white,11.8,1.33,1.23,1.0,0.052000000000000005,35.0,146.0,1.02,3.45,0.77,10.0,6
white,10.08,0.28,0.63,8.7,0.1,32.0,141.0,0.9961,3.38,1.74,12.66,6
white,7.4,0.85,1.34,59.73,0.047,163.86,343.65,1.02,3.19,0.49,8.07,6
white,7.2,0.12,0.36,30.29,0.033,67.76,114.0,0.9906,3.23,0.71,12.3,7
white,8.5,0.24,0.39,24.38,0.044000000000000004,20.0,286.1,1.03,3.65,0.53,10.0,6
white,6.84,0.14,0.34,11.59,0.042,44.61,198.09,1.01,3.09,1.1,12.36,6
white,14.05,0.25,0.31,2.05,0.05,31.0,124.76,1.03,3.19,0.56,10.8,6
white,6.2,1.13,0.21,,0.045,286.82,117.0,0.9939,2.89,0.51,9.0,6
white,9.72,0.27,0.2,9.98,0.11,22.0,243.3,0.9962,2.73,0.37,10.2,5
red,7.3,0.88,0.88,1.7,0.08,21.0,123.0,0.9905,3.19,0.42,12.8,5
white,6.5,0.39,0.23,41.11,0.051,25.0,149.0,1.02,3.24,1.09,10.0,5
white,11.38,0.33,1.18,35.67,0.45,38.0,138.0,1.02,3.13,0.28,11.2,6
white,7.3,1.27,0.63,64.59,0.02,45.0,149.0,0.9999,3.21,0.36,8.6,5
white,7.28,0.24,1.36,62.05,0.59,46.67,269.57,0.9999,3.21,0.65,8.6,5
red,6.7,0.62,0.39,50.26,0.172,63.0,158.0,0.9937,3.09,0.36,9.4,6
white,11.77,0.69,0.26,2.9,0.25,109.25,317.84,0.9937,3.82,0.34,9.4,6
white,7.0,0.26,0.26,10.66,0.25,237.51,185.05,1.03,3.13,1.47,9.8,6
white,6.6,0.99,0.27,10.37,0.42,241.69,164.94,0.9934,3.66,0.86,9.5,6
red,6.11,0.23,0.74,40.65,0.03,33.0,338.4,1.0,3.24,0.56,9.5,6
white,14.16,0.18,0.85,3.14,0.057999999999999996,38.0,279.93,0.9931,3.6,0.26,10.0,7
white,6.2,0.45,0.26,4.4,0.48,89.86,383.9,0.9940000000000001,3.27,0.52,14.38,4
white,13.8,0.42,1.17,4.4,0.38,239.66,133.15,1.04,2.94,0.52,9.8,5
red,6.53,0.31,0.26,56.21,0.069,166.88,163.33,0.9954,3.13,0.56,11.16,6
white,13.97,0.19,0.35,5.0,0.067,188.18,150.0,0.995,3.64,1.55,9.8,5
white,7.2,0.19,1.08,1.6,0.062,70.26,173.0,0.9917,3.35,0.44,11.7,6
red,6.6,0.29,0.42,53.9,0.068,39.0,124.0,0.9914,3.34,1.68,14.62,7
white,6.2,0.16,0.33,1.1,0.32,21.0,82.0,0.991,2.75,0.46,10.9,7
white,11.37,0.45,0.35,1.0,0.55,78.69,108.0,1.04,3.31,0.48,10.81,6
red,10.08,0.2,0.59,0.9,0.147,38.0,132.0,1.02,,1.1,9.1,6
white,10.88,0.36,0.35,22.46,0.039,233.08,118.45,0.9908,3.43,0.96,11.0,6
white,7.2,0.33,0.34,11.9,0.22,140.55,119.33,0.9962,3.71,0.9,9.6,6
white,6.0,0.71,0.38,42.83,0.05,50.0,147.0,0.9972,3.44,0.59,8.9,6
red,10.19,0.38,1.62,43.72,0.56,237.16,242.72,0.9931,3.42,0.39,10.2,6
white,12.85,0.2,0.98,1.2,0.08,3.83,111.0,0.9926,3.93,0.51,8.79,6
red,11.3,0.68,0.24,4.9,0.092,76.17,180.36,0.9951,3.03,0.46,8.6,6
white,6.0,1.37,0.35,12.4,0.2,209.9,209.35,1.03,3.3,0.36,8.9,6
white,7.0,0.47,0.07,1.1,0.43,17.0,436.66,0.991,3.02,1.1,14.14,5
red,6.6,0.38,0.93,31.19,0.044000000000000004,25.0,78.0,0.9931,3.84,1.78,10.2,6
white,12.9,0.24,0.27,1.4,0.038,277.48,122.0,0.9927,3.15,1.84,10.3,6
white,6.77,0.35,0.03,57.51,0.064,29.0,148.67,1.04,3.22,0.34,10.04,5
white,4.77,1.23,1.44,6.4,0.57,178.68,124.0,0.9903,3.49,0.49,12.6,7
white,6.7,0.14,0.13,30.28,0.040999999999999995,81.0,388.35,1.04,3.14,0.97,14.11,5
white,11.93,0.23,0.31,27.05,0.046,30.0,121.57,0.9926,3.33,0.64,10.7,8
white,10.17,1.52,0.05,15.67,0.55,101.91,105.0,0.9962,2.78,0.45,13.34,5
white,6.2,0.27,0.43,7.8,0.055999999999999994,48.0,221.36,1.01,3.1,0.51,11.7,6
white,5.33,0.3,1.49,35.05,0.5,228.98,377.54,0.9958,3.32,0.6,9.89,5
white,6.0,0.27,0.28,4.8,0.19,246.24,197.33,0.99,3.69,0.71,10.0,5
red,8.6,0.65,0.38,1.0,0.054000000000000006,9.0,85.79,1.02,3.27,0.54,9.1,6
white,6.7,0.23,0.63,17.39,0.51,30.0,96.0,1.03,3.33,0.64,10.7,8
white,8.08,0.1,0.29,10.1,0.05,88.28,235.11,0.9962,3.13,0.29,9.5,5
red,14.17,1.4,0.36,1.4,0.46,54.85,87.0,0.9898,3.26,0.37,9.76,7
white,7.0,0.32,0.6,1.3,0.042,20.0,69.0,0.9912,3.31,0.65,12.0,7
white,7.4,0.18,0.3,13.99,0.26,26.0,103.0,1.0,2.94,1.42,9.62,5
white,5.02,0.93,0.28,60.75,0.06,21.0,438.05,1.01,3.27,0.37,12.66,5
white,6.8,0.79,0.31,1.4,0.22,34.0,114.0,0.9929,3.8,0.77,8.52,6
white,14.08,0.18,0.97,1.7,0.05,268.36,166.0,0.9985,2.9,0.6,13.53,6
white,13.08,0.93,0.58,6.1,0.063,47.0,87.7,0.9946,3.17,0.42,12.0,5
white,8.05,0.22,0.16,8.2,0.047,42.0,207.0,0.99,3.33,0.46,11.67,6
