workclass_num,education.num,marital_num,race_num,sex_num,rel_num,capital.gain,capital.loss,workclass,fnlwgt,education,marital.status,occupation,relationship,race,sex,hours.per.week,native.country,income,age,over50K
0,5,0,2,0,0,0,4356,Private,132870,HS-grad,Widowed,Exec-managerial,Not-in-family,White,Female,18,United-States,<=50K,82,0
0,11,2,0,0,1,0,1570,Private,140359,7th-8th,Divorced,Machine-op-inspct,Unmarried,White,Female,40,United-States,<=50K,54,0
0,10,4,0,0,1,59319,3900,Private,264663,Some-college,Separated,Prof-specialty,Own-child,White,Female,40,United-States,<=50K,41,0
0,9,0,0,1,0,434,3770,Private,216864,HS-grad,Divorced,Other-service,Unmarried,White,Female,45,United-States,<=50K,34,0
0,10,2,0,1,0,1930,3770,Private,150601,10th,Separated,Adm-clerical,Unmarried,White,Male,40,United-States,<=50K,38,0
1,16,3,3,0,0,0,4021,State-gov,88638,Doctorate,Never-married,Prof-specialty,Other-relative,White,Female,20,United-States,>50K,74,1
6,4,1,3,0,0,0,580,Federal-gov,422013,HS-grad,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,68,0
0,6,2,3,1,0,35740,3004,Private,70037,Some-college,Never-married,Craft-repair,Unmarried,White,Male,60,?,>50K,41,1
0,16,1,1,0,0,0,3478,Private,172274,Doctorate,Divorced,Prof-specialty,Unmarried,Black,Female,35,United-States,>50K,45,1
3,15,5,3,1,0,0,3465,Self-emp-not-inc,164526,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,45,United-States,>50K,38,1
2,13,0,0,1,1,43200,2824,Private,129177,Bachelors,Widowed,Other-service,Not-in-family,White,Female,20,United-States,>50K,52,1
0,14,5,0,1,0,0,428,Private,136204,Masters,Separated,Exec-managerial,Not-in-family,White,Male,55,United-States,>50K,32,1
0,15,0,2,0,0,65411,2824,Private,45363,Prof-school,Divorced,Prof-specialty,Not-in-family,White,Male,40,United-States,>50K,46,1
0,3,1,0,1,0,93783,2824,Private,172822,11th,Divorced,Transport-moving,Not-in-family,White,Male,76,United-States,>50K,45,1
3,3,1,0,1,1,0,2824,Private,317847,Masters,Divorced,Exec-managerial,Not-in-family,White,Male,50,United-States,>50K,57,1
0,12,3,1,1,0,0,2824,Private,119592,Assoc-acdm,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,?,>50K,22,1
0,13,2,0,0,0,0,2824,Private,203034,Bachelors,Separated,Sales,Not-in-family,White,Male,50,United-States,>50K,34,1
5,8,3,0,1,0,11670,503,Private,188774,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States,>50K,37,1
0,7,2,2,0,0,0,2754,Private,77009,11th,Separated,Sales,Not-in-family,White,Female,42,United-States,<=50K,29,0
0,11,1,0,0,0,1765,3527,Private,29059,HS-grad,Divorced,Sales,Unmarried,White,Female,25,United-States,<=50K,61,0
0,10,4,0,1,1,0,2603,Private,153870,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,51,0
