customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,Male,0,No,Yes,63,No,Yes,No,Yes,No,No internet service,No internet service,Yes,No,Month-to-month,No,Credit card (automatic),97.35,6116.31,No
5575-GNVDE,Female,0,No,No,30,No,No phone service,DSL,No,No internet service,No internet service,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),72.54,4924.88,No
3668-QPYBK,Male,1,Yes,No,18,No,No phone service,No,No,Yes,No,No,No,No internet service,One year,No,Mailed check,88.62,5042.6,Yes
7795-CFOCW,Female,0,No,No,64,No,No phone service,DSL,Yes,No,Yes,No,No,No internet service,Two year,Yes,Bank transfer (automatic),90.76,5989.12,No
9237-HQITU,Female,1,No,No,0,Yes,Yes,No,No internet service,Yes,No internet service,No,Yes,No,One year,No,Credit card (automatic),59.07,3430.46,Yes
9305-CDSKC,Female,0,No,Yes,42,Yes,No phone service,No,Yes,Yes,Yes,No,No internet service,Yes,One year,No,Credit card (automatic),75.91,3277.3,Yes
1452-KIOVK,Female,0,No,Yes,62,Yes,No,DSL,No internet service,No internet service,No,No internet service,No,No internet service,One year,Yes,Bank transfer (automatic),77.7,1333.12,No
6713-OKOMC,Female,0,No,Yes,45,Yes,Yes,No,Yes,No,Yes,No,No internet service,No,One year,Yes,Credit card (automatic),64.54,8131.98,No
7892-POOKP,Female,1,Yes,No,22,No,Yes,Fiber optic,No internet service,No,No internet service,No,No,No internet service,Two year,No,Mailed check,21.17,5637.79,Yes
6388-TABGU,Female,1,No,No,26,No,No phone service,No,No,No,No internet service,No,No,No internet service,Two year,No,Credit card (automatic),53.3,579.36,No
9763-GRSKD,Male,0,No,Yes,25,No,No phone service,No,No internet service,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),85.77,6674.59,No
7469-LKBCI,Female,0,No,Yes,16,Yes,No,DSL,No,No,No,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),96.59,2262.19,No
8091-TTVAX,Male,1,No,Yes,12,No,No,No,No internet service,No,Yes,No internet service,No,No internet service,One year,Yes,Electronic check,57.08,3000.04,No
0280-XJGEX,Male,0,No,No,17,Yes,No,No,Yes,No internet service,No,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),79.92,7511.53,Yes
5129-JLPIS,Female,1,No,No,21,Yes,Yes,Fiber optic,Yes,No,No internet service,No,No internet service,No,Two year,No,Electronic check,108.88,2353.62,No
3655-SNQYZ,Female,1,No,No,8,Yes,No phone service,No,Yes,Yes,No internet service,No,No,No internet service,One year,No,Bank transfer (automatic),48.79,5536.48,No
8191-XWSZG,Female,0,No,No,50,No,No phone service,Fiber optic,No,No internet service,No internet service,No internet service,Yes,No,Month-to-month,No,Electronic check,100.35,260.76,No
9959-WOFKT,Female,1,Yes,Yes,28,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,115.95,5126.95,No
4190-MFLUW,Male,0,Yes,Yes,43,No,Yes,Fiber optic,No,No,No,Yes,No internet service,No,One year,No,Mailed check,89.92,941.65,Yes
4183-MYFRB,Female,0,Yes,No,18,Yes,Yes,Fiber optic,No internet service,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,21.09,1284.4,No
8779-QRDMV,Female,0,Yes,Yes,72,Yes,No phone service,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.62,2757.68,Yes
1680-VDCWW,Male,1,Yes,No,60,No,No phone service,Fiber optic,No internet service,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),19.17,3428.67,No
1066-JKSGK,Male,1,No,No,24,No,No phone service,No,No internet service,No internet service,No,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),85.64,3303.82,Yes
3638-WEABW,Female,0,No,No,4,Yes,No,DSL,No,No internet service,Yes,No,No,No internet service,Month-to-month,No,Electronic check,107.04,4526.82,No
6322-HRPFA,Female,1,No,Yes,21,No,No phone service,DSL,No,No,Yes,No internet service,No internet service,Yes,One year,Yes,Electronic check,31.05,1049.96,No
6865-JZNKO,Male,1,Yes,No,43,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,45.18,3550.83,No
6467-CHFZW,Male,1,No,Yes,58,No,Yes,DSL,Yes,No internet service,Yes,No,No internet service,Yes,One year,No,Electronic check,69.12,1955.54,Yes
8665-UTDHZ,Female,1,No,Yes,25,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),101.16,311.58,Yes
5248-YGIJN,Female,1,No,Yes,59,Yes,Yes,DSL,No,No internet service,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),61.83,7667.31,No
8773-HHUOZ,Female,0,Yes,No,23,No,No phone service,DSL,Yes,No,No,No internet service,No,Yes,One year,Yes,Mailed check,20.14,4531.26,Yes
3841-NFECX,Male,1,Yes,No,4,Yes,Yes,DSL,Yes,No internet service,Yes,No internet service,Yes,No,One year,Yes,Bank transfer (automatic),84.25,3315.24,No
4929-XIHVW,Female,1,Yes,No,47,No,No phone service,Fiber optic,No,No,No internet service,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),75.08,2948.04,No
6827-IEAUQ,Male,1,Yes,Yes,19,No,No,No,Yes,No internet service,No internet service,No internet service,Yes,Yes,One year,Yes,Electronic check,50.05,334.64,No
7310-EGVHZ,Female,0,Yes,Yes,42,No,No phone service,Fiber optic,No internet service,Yes,No,Yes,No,No internet service,One year,Yes,Mailed check,78.95,877.39,No
3413-BMNZE,Male,0,No,Yes,11,No,No,No,No internet service,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,110.98,8669.71,No
6234-RAAPL,Male,1,Yes,Yes,50,Yes,No,DSL,No internet service,No,No,No internet service,No,No internet service,One year,Yes,Credit card (automatic),63.34,4982.32,No
6047-YHPVI,Female,1,Yes,No,11,Yes,No phone service,DSL,Yes,No internet service,No internet service,No,No,No internet service,Two year,No,Mailed check,45.53,6099.35,Yes
6572-ADKRS,Male,1,Yes,Yes,4,Yes,Yes,DSL,No internet service,Yes,Yes,No internet service,Yes,No internet service,Two year,No,Electronic check,44.02,2295.58,No
5380-WJKOV,Male,1,Yes,Yes,14,Yes,Yes,No,No internet service,No,Yes,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),35.4,4127.61,Yes
8168-UQWWF,Female,0,No,Yes,68,No,Yes,Fiber optic,No internet service,Yes,No,No,Yes,No internet service,Month-to-month,No,Credit card (automatic),28.08,438.6,Yes
8865-TNMNX,Female,1,No,Yes,26,Yes,No,No,Yes,No internet service,No,No internet service,Yes,No,One year,Yes,Credit card (automatic),32.6,4988.06,No
9489-DEDVP,Male,1,No,Yes,47,No,Yes,DSL,Yes,Yes,No,No internet service,No,Yes,One year,No,Electronic check,79.33,7823.6,No
9867-JCZSP,Female,1,No,No,18,No,No phone service,No,Yes,Yes,No internet service,No internet service,No,No internet service,One year,Yes,Bank transfer (automatic),41.16,609.62,No
4671-VJLCL,Male,1,Yes,Yes,24,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,Yes,No internet service,One year,No,Mailed check,109.18,5244.92,No
4080-IIARD,Male,1,Yes,No,10,No,Yes,Fiber optic,Yes,No internet service,Yes,No,No internet service,No internet service,Month-to-month,No,Electronic check,104.36,6241.73,No
3714-NTNFO,Female,1,Yes,Yes,18,Yes,No,Fiber optic,No internet service,No,Yes,No,No internet service,No internet service,Month-to-month,No,Electronic check,75.39,5816.1,No
5948-UJZLF,Female,0,No,Yes,3,Yes,No phone service,DSL,No internet service,Yes,No internet service,No internet service,No,Yes,Two year,Yes,Bank transfer (automatic),36.96,7171.69,No
7760-OYPDY,Female,1,No,No,40,No,No phone service,Fiber optic,No internet service,No,Yes,No,No,No,Month-to-month,No,Mailed check,67.52,3248.4,Yes
7639-LIAYI,Female,1,Yes,Yes,56,Yes,No phone service,DSL,No internet service,No,No internet service,No internet service,No internet service,No,One year,No,Bank transfer (automatic),71.35,647.04,No
2954-PIBKO,Female,1,No,No,46,No,Yes,DSL,No internet service,No internet service,No internet service,Yes,No,Yes,Two year,Yes,Credit card (automatic),118.46,4544.87,No
8012-SOUDQ,Male,0,No,Yes,1,Yes,No phone service,No,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),63.61,774.06,No
9420-LOJKX,Male,1,No,Yes,24,No,Yes,Fiber optic,No,No,Yes,No,No,No internet service,Month-to-month,No,Credit card (automatic),102.73,1905.14,Yes
6575-SUVOI,Male,0,Yes,Yes,17,Yes,Yes,Fiber optic,No,No,No,No internet service,No,Yes,Two year,Yes,Mailed check,111.27,1525.2,No
7495-OOKFY,Female,0,Yes,No,72,No,No,DSL,No internet service,No internet service,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),86.59,8450.64,Yes
4667-QONEA,Male,0,Yes,Yes,39,No,No phone service,Fiber optic,Yes,No internet service,No,No internet service,No,No,Two year,Yes,Credit card (automatic),29.2,6747.37,No
1658-BYGOY,Female,0,Yes,No,9,No,Yes,DSL,No internet service,Yes,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,97.02,384.02,Yes
8769-KKTPH,Female,1,Yes,Yes,36,Yes,No,DSL,Yes,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),36.66,841.29,No
5067-XJQFU,Female,1,Yes,Yes,23,Yes,No,DSL,No internet service,No internet service,No,No,No,No internet service,One year,Yes,Bank transfer (automatic),78.85,2108.91,No
3957-SQXML,Male,0,No,No,5,No,No,DSL,Yes,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,86.89,1939.95,No
5954-BDFSG,Male,1,No,Yes,60,Yes,No phone service,No,Yes,No,No,Yes,No internet service,No internet service,One year,No,Electronic check,24.84,7964.12,No
0434-CSFON,Female,1,No,No,69,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),55.39,6284.5,No
1215-FIGMP,Male,1,Yes,Yes,71,No,No,DSL,No,No,No,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),101.96,6437.31,No
0526-SXDJP,Male,0,No,No,6,Yes,Yes,DSL,No internet service,Yes,No internet service,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic),87.39,7793.07,No
0557-ASKVU,Female,0,No,Yes,50,No,No,DSL,No internet service,No internet service,Yes,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,104.69,8236.63,No
5698-BQJOH,Male,0,No,No,49,No,No,DSL,No internet service,No internet service,No internet service,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),50.85,4344.5,Yes
5122-CYFXA,Male,1,Yes,No,3,Yes,No,Fiber optic,Yes,No internet service,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),33.06,4430.85,No
8627-ZYGSZ,Female,0,Yes,Yes,62,Yes,No,DSL,No internet service,No internet service,No,Yes,No,Yes,One year,Yes,Credit card (automatic),52.05,3215.14,No
3410-YOQBQ,Male,0,Yes,Yes,24,No,Yes,No,Yes,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),28.83,7677.46,No
