customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,Female,1,Yes,No,15,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,No,Yes,One year,Yes,Bank transfer (automatic),64.05,2222.3,No
5575-GNVDE,Female,1,Yes,No,62,No,Yes,DSL,No internet service,Yes,No,Yes,No internet service,Yes,Two year,No,Bank transfer (automatic),107.73,1494.61,No
3668-QPYBK,Female,1,No,Yes,45,No,No phone service,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,No,Two year,No,Mailed check,113.76,7507.73,Yes
7795-CFOCW,Female,0,Yes,Yes,13,Yes,No,DSL,No,No,No,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),31.63,3397.97,No
9237-HQITU,Female,0,Yes,No,47,No,No,Fiber optic,Yes,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,102.92,6899.41,Yes
9305-CDSKC,Male,0,Yes,Yes,11,Yes,Yes,No,Yes,No,No internet service,Yes,Yes,No internet service,Two year,No,Mailed check,31.79,5109.2,Yes
1452-KIOVK,Female,1,Yes,Yes,41,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Electronic check,43.64,2129.61,No
6713-OKOMC,Female,1,No,Yes,42,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Two year,No,Electronic check,31.2,2301.42,No
7892-POOKP,Male,1,No,Yes,23,No,No phone service,DSL,No internet service,No internet service,No internet service,Yes,No,No,Month-to-month,Yes,Credit card (automatic),93.49,1978.58,Yes
6388-TABGU,Female,1,No,Yes,0,Yes,No phone service,Fiber optic,No internet service,Yes,No,Yes,Yes,No,Two year,No,Credit card (automatic),47.72,3145.11,No
9763-GRSKD,Female,1,No,Yes,29,No,No phone service,Fiber optic,No internet service,Yes,Yes,Yes,No internet service,No internet service,Two year,Yes,Mailed check,93.21,5140.71,No
7469-LKBCI,Female,0,Yes,No,43,No,Yes,Fiber optic,Yes,Yes,No,No,No,No internet service,Month-to-month,No,Mailed check,53.33,5841.7,No
8091-TTVAX,Male,0,No,Yes,43,No,No phone service,DSL,Yes,No,No internet service,No internet service,No,No,One year,No,Credit card (automatic),103.61,4503.49,No
0280-XJGEX,Female,0,Yes,No,0,No,No phone service,No,No internet service,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),55.1,6823.79,Yes
5129-JLPIS,Female,0,No,Yes,25,No,No phone service,Fiber optic,No,No internet service,Yes,Yes,Yes,No internet service,Two year,Yes,Bank transfer (automatic),89.49,2337.74,No
3655-SNQYZ,Male,0,Yes,Yes,37,No,No,Fiber optic,No,No,Yes,No internet service,No,Yes,One year,No,Credit card (automatic),57.39,4089.23,No
8191-XWSZG,Female,1,Yes,No,62,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),98.92,1914.01,No
9959-WOFKT,Male,0,Yes,Yes,48,Yes,No phone service,DSL,Yes,No,No internet service,Yes,Yes,No internet service,Two year,No,Mailed check,112.32,6275.25,No
4190-MFLUW,Male,0,Yes,No,13,Yes,No phone service,No,Yes,No,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Credit card (automatic),58.31,8143.71,Yes
4183-MYFRB,Male,1,No,No,58,No,Yes,DSL,Yes,No internet service,Yes,No internet service,Yes,No,Two year,Yes,Mailed check,54.27,847.01,No
8779-QRDMV,Male,0,No,No,42,No,No,No,No internet service,Yes,Yes,No,No,Yes,One year,No,Mailed check,107.82,4591.08,Yes
1680-VDCWW,Female,1,Yes,No,43,No,Yes,DSL,No internet service,Yes,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),102.88,7406.06,No
1066-JKSGK,Male,1,No,Yes,22,No,No,Fiber optic,Yes,No internet service,Yes,No,Yes,No internet service,One year,Yes,Credit card (automatic),71.14,1094.74,Yes
3638-WEABW,Male,1,No,Yes,14,Yes,Yes,DSL,No,No,No internet service,Yes,Yes,No internet service,One year,No,Credit card (automatic),50.61,6585.3,No
6322-HRPFA,Male,0,No,Yes,47,Yes,No phone service,Fiber optic,No,Yes,Yes,No internet service,Yes,No,One year,Yes,Bank transfer (automatic),23.33,1018.43,No
6865-JZNKO,Female,1,Yes,Yes,27,No,No,Fiber optic,Yes,Yes,No,No,No,No internet service,Month-to-month,No,Mailed check,79.49,2798.4,No
6467-CHFZW,Female,0,Yes,Yes,60,No,No phone service,Fiber optic,No,No internet service,No,Yes,No internet service,Yes,Two year,Yes,Credit card (automatic),82.86,2703.62,Yes
8665-UTDHZ,Male,0,No,No,32,No,Yes,Fiber optic,Yes,No,No internet service,No,Yes,Yes,One year,No,Bank transfer (automatic),117.88,1010.33,Yes
5248-YGIJN,Female,0,No,Yes,70,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),65.11,2123.72,No
8773-HHUOZ,Female,1,No,No,71,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No,One year,No,Bank transfer (automatic),82.85,7334.26,Yes
3841-NFECX,Male,1,No,No,0,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No internet service,No,Two year,No,Credit card (automatic),54.9,1012.44,No
4929-XIHVW,Male,1,Yes,Yes,68,Yes,No,Fiber optic,Yes,No internet service,No internet service,No,No,Yes,Month-to-month,No,Credit card (automatic),61.89,2226.57,No
6827-IEAUQ,Male,1,Yes,No,13,No,No,No,No,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,104.78,6542.28,No
7310-EGVHZ,Male,0,Yes,No,37,Yes,No,Fiber optic,Yes,No internet service,No internet service,No,No,No internet service,Month-to-month,Yes,Mailed check,67.8,6123.13,No
3413-BMNZE,Male,0,Yes,No,26,Yes,Yes,DSL,No,No internet service,Yes,No,Yes,No,One year,Yes,Credit card (automatic),64.37,3188.74,No
6234-RAAPL,Male,0,No,Yes,2,No,No phone service,No,No,No internet service,No,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),30.18,2653.92,No
6047-YHPVI,Male,1,No,Yes,71,No,No phone service,DSL,No,No internet service,No,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,19.24,781.37,Yes
6572-ADKRS,Male,1,No,Yes,35,Yes,No phone service,Fiber optic,Yes,No,No internet service,Yes,No internet service,No internet service,Two year,No,Credit card (automatic),77.79,7420.55,No
5380-WJKOV,Male,1,No,Yes,42,No,Yes,DSL,Yes,No internet service,Yes,Yes,No internet service,Yes,One year,No,Credit card (automatic),103.37,1922.2,Yes
8168-UQWWF,Male,1,Yes,No,14,No,No phone service,No,Yes,No internet service,No internet service,No,No,No internet service,Two year,No,Mailed check,114.61,1342.59,Yes
8865-TNMNX,Male,1,No,Yes,4,Yes,Yes,DSL,No,Yes,No,No internet service,No,No internet service,Month-to-month,No,Mailed check,67.26,3292.17,No
9489-DEDVP,Female,1,Yes,No,64,Yes,No,DSL,Yes,No,Yes,No internet service,No internet service,No,One year,No,Credit card (automatic),100.24,6018.89,No
9867-JCZSP,Male,1,Yes,Yes,1,No,No,DSL,No internet service,Yes,No,Yes,Yes,No internet service,Two year,No,Credit card (automatic),111.0,1610.86,No
4671-VJLCL,Male,0,Yes,Yes,22,Yes,No phone service,Fiber optic,Yes,No,Yes,No internet service,Yes,Yes,One year,No,Mailed check,111.59,455.72,No
4080-IIARD,Female,1,No,Yes,5,No,Yes,DSL,No internet service,Yes,No internet service,No,No,Yes,Two year,Yes,Bank transfer (automatic),71.52,2605.58,No
3714-NTNFO,Female,1,Yes,Yes,59,Yes,No,No,No internet service,Yes,No internet service,No,No,No,Two year,No,Mailed check,103.58,6686.12,No
5948-UJZLF,Female,0,Yes,No,35,No,No phone service,No,Yes,No internet service,No,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),77.91,7339.77,No
7760-OYPDY,Female,0,No,No,39,No,Yes,Fiber optic,No internet service,No internet service,No internet service,No,No,Yes,Two year,Yes,Bank transfer (automatic),109.05,1855.65,Yes
7639-LIAYI,Male,0,Yes,Yes,59,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No internet service,One year,Yes,Credit card (automatic),41.12,7664.77,No
2954-PIBKO,Female,0,No,Yes,37,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No internet service,Yes,Two year,Yes,Bank transfer (automatic),62.69,8502.3,No
8012-SOUDQ,Male,0,No,No,55,Yes,No,DSL,No internet service,Yes,Yes,No internet service,Yes,No,Two year,No,Electronic check,111.65,5295.56,No
9420-LOJKX,Male,0,Yes,No,25,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,69.32,5394.77,Yes
6575-SUVOI,Male,1,No,Yes,22,No,Yes,DSL,No internet service,No internet service,Yes,No internet service,No internet service,No,Two year,No,Bank transfer (automatic),102.24,6876.41,No
7495-OOKFY,Male,1,Yes,Yes,51,Yes,No,Fiber optic,No,No,No internet service,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),89.8,7244.72,Yes
4667-QONEA,Male,1,Yes,Yes,22,No,Yes,Fiber optic,No,Yes,No,Yes,No internet service,Yes,One year,No,Bank transfer (automatic),65.51,6375.74,No
1658-BYGOY,Female,0,No,Yes,14,No,No phone service,Fiber optic,Yes,Yes,No internet service,Yes,No internet service,No internet service,Two year,No,Bank transfer (automatic),99.24,5321.24,Yes
8769-KKTPH,Female,1,No,No,46,No,No,Fiber optic,Yes,No internet service,No,No internet service,No internet service,No,One year,Yes,Electronic check,117.68,1721.57,No
5067-XJQFU,Male,0,No,No,72,No,No phone service,No,No internet service,Yes,No internet service,No,Yes,No,Month-to-month,Yes,Mailed check,104.12,8671.24,No
3957-SQXML,Male,0,No,No,67,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,No,Electronic check,39.4,7786.58,No
5954-BDFSG,Female,1,Yes,No,31,Yes,Yes,No,Yes,No,No,No internet service,No internet service,Yes,One year,Yes,Mailed check,98.3,7584.86,No
0434-CSFON,Male,0,Yes,No,26,No,No phone service,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),19.18,7447.71,No
1215-FIGMP,Male,0,Yes,Yes,16,No,No phone service,DSL,No,Yes,No,No,Yes,No,Two year,No,Bank transfer (automatic),80.89,1793.07,No
0526-SXDJP,Male,0,No,No,61,Yes,Yes,No,No,Yes,Yes,Yes,No,No internet service,One year,No,Bank transfer (automatic),28.95,34.55,No
0557-ASKVU,Female,1,Yes,Yes,49,Yes,No phone service,DSL,No,No internet service,No,Yes,Yes,No internet service,One year,Yes,Bank transfer (automatic),99.07,4999.69,No
5698-BQJOH,Female,1,Yes,Yes,15,Yes,No,DSL,No,Yes,Yes,No internet service,Yes,No,Month-to-month,Yes,Electronic check,103.93,7261.97,Yes
5122-CYFXA,Male,1,Yes,Yes,24,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,No,No,One year,Yes,Credit card (automatic),22.85,7997.4,No
8627-ZYGSZ,Female,1,Yes,No,60,No,No phone service,DSL,No,No,Yes,No internet service,No internet service,No,Two year,Yes,Credit card (automatic),94.85,5553.29,No
3410-YOQBQ,Male,0,No,Yes,5,Yes,No,Fiber optic,No,No,No internet service,No,No,No,One year,No,Credit card (automatic),103.86,2780.58,No
3170-NMYVV,Female,1,Yes,No,61,Yes,Yes,DSL,No internet service,No,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),74.97,8149.12,No
7410-OIEDU,Male,0,Yes,Yes,68,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,Yes,No,Two year,No,Credit card (automatic),22.77,8045.17,No
2273-QCKXA,Male,1,No,Yes,35,Yes,No,Fiber optic,Yes,No internet service,No,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,60.64,7440.88,No
0731-EBJQB,Female,1,No,Yes,2,Yes,No,No,Yes,No internet service,No,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),76.89,2337.06,No
1891-QRQSA,Male,1,Yes,Yes,1,No,No,Fiber optic,Yes,No,Yes,Yes,No internet service,Yes,One year,No,Credit card (automatic),117.58,3835.68,No
8028-PNXHQ,Male,0,Yes,Yes,54,Yes,No phone service,DSL,No,Yes,Yes,Yes,No internet service,No internet service,Two year,No,Mailed check,34.73,5647.18,No
5630-AHZIL,Female,1,Yes,Yes,14,No,No,No,No internet service,Yes,No internet service,No,Yes,No,One year,Yes,Electronic check,91.38,5957.85,No
2673-CXQEU,Female,1,No,Yes,18,No,No,No,No,Yes,No internet service,No,No,Yes,One year,No,Mailed check,28.72,6603.81,No
6416-JNVRK,Female,0,No,No,58,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No,Yes,Yes,One year,No,Mailed check,100.3,4940.58,No
5590-ZSKRV,Male,0,Yes,No,35,Yes,Yes,DSL,No internet service,No,No internet service,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),30.75,340.78,No
0191-ZHSKZ,Female,1,No,Yes,5,Yes,No,DSL,Yes,No internet service,Yes,No,Yes,No internet service,One year,No,Bank transfer (automatic),52.12,2216.9,No
3887-PBQAO,Female,1,Yes,No,62,No,Yes,DSL,Yes,No,No,Yes,No,No,Two year,No,Electronic check,72.47,2582.07,No
5919-TMRGD,Male,1,Yes,Yes,58,No,Yes,No,No,No internet service,No,No,No,Yes,Two year,No,Credit card (automatic),117.0,8363.22,Yes
8108-UXRQN,Female,1,Yes,No,0,No,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),18.62,1486.43,No
9191-MYQKX,Female,1,No,No,41,No,No phone service,No,No internet service,Yes,No,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),71.76,2905.47,Yes
9919-YLNNG,Female,1,No,No,7,No,No,No,Yes,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),44.93,2130.34,No
0318-ZOPWS,Female,0,Yes,No,29,No,Yes,DSL,No internet service,No,No internet service,No,No internet service,No,One year,No,Credit card (automatic),102.03,2277.78,No
4445-ZJNMU,Female,0,No,Yes,47,No,No phone service,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,No,Electronic check,74.66,1004.51,No
4808-YNLEU,Male,1,Yes,Yes,46,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),37.03,199.56,No
1862-QRWPE,Male,0,Yes,Yes,10,No,No phone service,Fiber optic,No internet service,Yes,No internet service,Yes,No,No internet service,Two year,No,Credit card (automatic),69.92,1513.23,No
2796-NNUFI,Female,1,Yes,Yes,39,No,No,DSL,No,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),111.29,3542.07,No
3016-KSVCP,Male,1,Yes,No,7,Yes,No phone service,DSL,No,No internet service,No,Yes,No internet service,No,One year,Yes,Electronic check,22.93,7790.78,No
4767-HZZHQ,Male,0,No,No,24,Yes,No,Fiber optic,Yes,No internet service,No,No internet service,Yes,No internet service,Two year,No,Bank transfer (automatic),84.48,1248.17,No
2424-WVHPL,Female,0,Yes,No,29,No,No,Fiber optic,Yes,Yes,No internet service,No,No,No internet service,Month-to-month,No,Credit card (automatic),68.27,7674.2,No
7233-PAHHL,Male,1,Yes,No,61,Yes,No phone service,No,Yes,Yes,No internet service,Yes,Yes,No,One year,No,Electronic check,101.23,1998.29,No
6067-NGCEU,Female,1,No,No,2,No,No,No,Yes,Yes,No internet service,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),56.78,6156.91,No
9848-JQJTX,Male,0,Yes,Yes,16,Yes,No phone service,DSL,Yes,Yes,No,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),30.72,2382.56,No
8637-XJIVR,Male,0,Yes,No,58,No,No phone service,DSL,No,No internet service,Yes,No internet service,Yes,No,One year,No,Bank transfer (automatic),72.28,5159.02,Yes
9803-FTJCG,Female,0,Yes,Yes,66,No,No,DSL,Yes,No internet service,Yes,No,Yes,No internet service,Two year,Yes,Credit card (automatic),86.4,8299.36,No
0278-YXOOG,Female,1,Yes,No,52,No,No,Fiber optic,Yes,Yes,Yes,No,Yes,No internet service,Two year,Yes,Mailed check,26.15,4717.82,Yes
3212-KXOCR,Male,1,Yes,Yes,51,Yes,No phone service,DSL,No,No,No internet service,No internet service,No,No,Two year,Yes,Mailed check,111.69,944.58,No
4598-XLKNJ,Female,1,No,Yes,20,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No,No internet service,Yes,Two year,Yes,Electronic check,94.64,5749.47,Yes
6380-ARCEH,Male,0,No,No,12,No,No,Fiber optic,No,No internet service,No,Yes,No internet service,No,Month-to-month,No,Electronic check,78.55,899.45,No
3679-XASPY,Female,1,Yes,No,29,Yes,No,DSL,No,No internet service,Yes,Yes,Yes,No internet service,One year,No,Credit card (automatic),80.61,5635.74,No
7123-WQUHX,Male,1,Yes,Yes,55,No,Yes,No,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,117.08,5764.86,No
